difficulty,question,options[0],options[1],options[2],options[3],answer,subject
하,뉴턴의 제1법칙은 무엇을 설명하는가?,중력,운동량 보존,관성,에너지 보존,관성,물리학
하,물체의 질량이 클수록 중력은 어떻게 변하는가?,증가한다,감소한다,변하지 않는다,반비례한다,증가한다,물리학
하,소리의 속도는 어떤 상태에서 가장 빠른가?,공기,물,진공,고체,고체,물리학
하,전구가 빛을 내는 이유는 무엇인가?,전자의 이동,광자의 방출,전류의 흐름,전자와 양자의 결합,전자의 이동,물리학
하,1초 동안 이동한 거리를 무엇이라 하는가?,속도,가속도,힘,질량,속도,물리학
하,온도가 상승하면 물질의 부피는 어떻게 변하는가?,증가한다,감소한다,변하지 않는다,온도에 따라 다르다,증가한다,물리학
하,고체에서 열이 전달되는 방식을 무엇이라 하는가?,전도,대류,복사,자극,전도,물리학
하,빛의 파장은 어떤 물리량에 해당하는가?,전압,시간,거리,진동수,진동수,물리학
하,두 물체가 서로 끌어당기는 힘을 무엇이라 하는가?,마찰력,전자기력,중력,핵력,중력,물리학
하,전류의 단위는 무엇인가?,볼트,암페어,옴,패럿,암페어,물리학
중,운동하는 물체의 질량과 속도에 의해 결정되는 물리량은 무엇인가?,힘,운동량,가속도,에너지,운동량,물리학
중,전기 회로에서 전류가 흐를 때의 저항은 무엇에 의해 결정되는가?,전압,전기 저항,전하량,온도,전기 저항,물리학
중,빛의 굴절은 무엇에 의해 발생하는가?,파장의 변화,매질의 변화,전자의 운동,광자의 충돌,매질의 변화,물리학
중,물체의 위치에너지를 나타내는 공식은 무엇인가?,mgh,1/2mv²,ma,v²/r,mgh,물리학
중,원자의 핵을 구성하는 입자는 무엇인가?,양성자와 중성자,전자와 양성자,전자와 중성자,광자와 양성자,양성자와 중성자,물리학
중,상대성 이론에 따르면 시간은 어떤 경우에 느리게 흐르는가?,빠르게 움직일 때,높은 온도일 때,낮은 온도일 때,정지 상태일 때,빠르게 움직일 때,물리학
중,전자의 궤도를 설명하는 양자 수는 몇 개인가?,1개,2개,3개,4개,4개,물리학
중,전류가 자기장을 생성하는 법칙은?,쿨롱 법칙,패러데이 법칙,암페어 법칙,헬름홀츠 법칙,암페어 법칙,물리학
중,우주에 있는 암흑 물질의 비율은 대략 얼마인가?,5%,23%,68%,85%,68%,물리학
중,소리의 높낮이는 무엇에 의해 결정되는가?,속도,진폭,주파수,매질,주파수,물리학
상,전자기파가 진공에서 전파될 때 전기장과 자기장은 서로 어떤 방향으로 존재하는가?,평행하다,수직하다,대칭이다,반대 방향이다,수직하다,물리학
상,열역학 제2법칙은 어떤 개념을 설명하는가?,에너지 보존,엔트로피 증가,열전달,질량 보존,엔트로피 증가,물리학
상,양자 터널링은 어떤 조건에서 발생하는가?,에너지가 충분히 낮을 때,에너지가 장벽을 넘지 못할 때,입자의 속도가 느릴 때,전자가 방출될 때,에너지가 장벽을 넘지 못할 때,물리학
상,일반 상대성 이론에서 빛이 휘는 현상은 무엇에 의해 설명되는가?,질량,가속도,시공간의 굴곡,전자기력,시공간의 굴곡,물리학
상,전자기파의 에너지는 무엇에 비례하는가?,파장,진동수,진폭,속도,진동수,물리학
상,슈뢰딩거 방정식은 무엇을 설명하는가?,입자의 위치,입자의 속도,파동 함수의 시간 진화,에너지 보존,파동 함수의 시간 진화,물리학
상,중력이 매우 강한 천체 주변에서 빛이 빠져나오지 못하는 경계는 무엇이라 하는가?,블랙홀,사건의 지평선,중성자별,적색 왜성,사건의 지평선,물리학
상,우주 배경 복사(CMB)는 무엇의 흔적인가?,빅뱅,은하의 형성,항성 진화,블랙홀 방사,빅뱅,물리학
상,양자 역학에서 관측 행위가 입자의 상태에 영향을 미친다는 개념은 무엇인가?,파동-입자 이중성,불확정성 원리,측정 문제,코펜하겐 해석,측정 문제,물리학
상,초전도 현상은 무엇에 의해 발생하는가?,전자의 양자 상태,자성의 상실,전자의 반발력,고온에서의 전자 이동,전자의 양자 상태,물리학
하,물의 끓는 점은 몇 도인가?,90도,100도,50도,120도,100도,과학
하,지구는 태양 주위를 몇 년에 한 번 공전하는가?,365일,1년,24시간,6개월,1년,과학
하,소리의 속도는 공기 중에서 얼마인가?,150 m/s,250 m/s,340 m/s,1000 m/s,340 m/s,과학
하,지구의 중심에 있는 물질은 무엇인가?,물,철과 니켈,공기,돌,철과 니켈,과학
하,태양계에서 가장 큰 행성은 무엇인가?,지구,화성,금성,목성,목성,과학
하,전류의 단위는 무엇인가?,볼트,암페어,와트,줄,암페어,과학
하,식물은 무엇을 통해 광합성을 하는가?,빛,엽록체,물,뿌리,엽록체,과학
하,사람의 몸에서 가장 큰 기관은 무엇인가?,심장,간,신장,폐,간,과학
하,물은 몇 개의 수소 원자와 결합하는가?,1,2,3,4,2,과학
하,전기의 반대 성질을 가진 입자는 무엇인가?,양성자,중성자,전자,이온,전자,과학
중,DNA는 무엇으로 구성되는가?,단백질,지방,뉴클레오타이드,당,뉴클레오타이드,과학
중,진자의 주기는 어떤 물리량에 의해 결정되는가?,질량,속도,길이와 중력 가속도,시간,길이와 중력 가속도,과학
중,지구의 대기 중에서 가장 많은 가스는 무엇인가?,산소,이산화탄소,질소,헬륨,질소,과학
중,광학 현미경을 통해 볼 수 있는 최소한의 물체 크기는 무엇인가?,10nm,0.1mm,200nm,2μm,200nm,과학
중,물질의 상태 변화 중 기체에서 액체로 변하는 현상을 무엇이라 하는가?,융해,증발,응축,승화,응축,과학
